Code,Division,Coursename,Credit,Professor,Period,
ECE10004,1,(Introduction to Computer Science and Electrical Engineering),2,Wonhyeong Lee,"Mon6,Mon7",
,,,,,,
,,,,,,
ECE20007,1,(Basic Electrical Engineering Experiments),3,Youngsik Kim,"Tue7,Thu7",
,,,,,,
,,,,,,
ECE20007,2,(Basic Electrical Engineering Experiments),3,Yoonseok Jo,"Mon7,Thu7",
,,,,,,
,,,,,,
ECE20010,1,(Data Structure),3,Hojun Kim,"Mon1,Mon2,Thu2",
,,,,,,
,,,,,,
ECE20010,2,(Data Structure),3,Hojun Kim,"Mon6,Mon7,Thu6",
,,,,,,
,,,,,,
ECE20010,3,(Data Structure),3,Youngsup Kim,"Mon1,Mon2,",
,,,,,hu2,
,,,,,,
ECE20010,4,(Data Structure),3,Hwanki Yong,"Mon6,Mon7,",
,,,,,,
,,,,,,
ECE20016,1,(Introduction to JAVA Programming),3,Kiseok Kim,"Tue1,Tue2,Fri2",
,,,,,,
,,,,,,
ECE20016,2,(Introduction to JAVA Programming),3,Kiseok Kim,"Tue5,Tue6,Fri6",
,,,,,,
,,,,,,
ECE20016,3,(Introduction to JAVA Programming),3,Jaechang Nam,"Mon2,Thu1,Thu2",
,,,,,,
,,,,,,
ECE20023,1,(Open-source Software Lab),2,Soyeon Jang,"Tue2,Fri2",
,,,,,,
,,,,,,
ECE20023,2,(Open-source Software Lab),2,Soyeon Jang,"Tue3,Fri3",
,,,,,,
,,,,,,
ECE20051,1,(Circuit Theory 1),3,Yoonsik Han,"Mon5,Thu5",
,,,,,,
,,,,,,
ECE20051,2,(Circuit Theory 1),3,Yoonsik Han,"Mon6,Thu6",
,,,,,,
,,,,,,
ECE20057,1,(Logic Design),3,Jongwon Lee,"Mon2,Thu2",
,,,,,,
,,,,,,
ECE20057,2,(Logic Design),3,Jongwon Lee,"Mon3,Thu3",
,,,,,,
,,,,,,
ECE20057,4,(Logic Design),3,Yoonmin Ko,"Tue2,Fri2",
,,,,,,
,,,,,,
ECE30002,1,(Mobile App Development),3,Seongbae Jo ,"Mon1,Mon2,Thu2",
,,,,,,
,,,,,,
ECE30004,1,(Smart System Laboratory),2,Youngsik kim,"Mon7,Mon8",
,,,,,,
,,,,,,
ECE30007,1,(Introduction to Artificial Intelligence Project),2,Huiyeol choi,"Tue5,Tue6",
,,,,,,
,,,,,,
ECE30007,2,(Introduction to Artificial Intelligence Project),2,Minkyu Ahn,"Tue5,Tue6",
,,,,,,
,,,,,,
ECE30007,3,(Introduction to Artificial Intelligence Project),2,Huiyeol choi,"Tue1,Tue2",
,,,,,,
,,,,,,
ECE30011,1,(Algorithm Analysis),3,Hwanki Yong,"Mon2,Thu2",
,,,,,,
,,,,,,
ECE30011,2,(Algorithm Analysis),3,Hwanki Yong,"Mon3,Thu3",
,,,,,,
,,,,,,
ECE30021,1,(Operating System),3,Injung Kim,"Mon4,Thu4",
,,,,,,
,,,,,,
ECE30021,2,(Operating System),3,Injung Kim,"Mon5,Thu5",
,,,,,,
,,,,,,
ECE30030,1,(Data-Base),3,Chamgil Hong,"Mon5,Thu5",
,,,,,,
,,,,,,
ECE30039,1,(Vocation and Career Planning(CSEE)),1,Kwang kim,Wed4,
,,,,,,
,,,,,,
ECE30051,1,(Electronic Circuits 1),3,Youngsik kim,"Tue2,Fri2",
,,,,,,
,,,,,,
ECE30063,1,(Semiconductor Physics),3,Youngchoon Park,"Tue6,Fri6",
,,,,,,
,,,,,,
ECE30075,1,(Embedded Processor Application),3,Jongwon Lee,"Mon5,Mon9,Thu5",
,,,,,,
,,,,,,
ECE30083,1,(Principles of Communication),3,Junyong Lee,"Tue4,Fri4",
,,,,,,
,,,,,,
ECE30092,1,(Engineering Project Planning),2,Hong Sin,"Wed8,Wed9",
,,,,,,
,,,,,,
ECE40008,1,(RF Circuit Design),3,Youngsuk kim,"Tue5,Fri5",
,,,,,,
,,,,,,
ECE40027,1,(Post-capstone Research),3,Injung Kim,,
,,,,,,
,,,,,,
ECE40027,2,(Post-capstone Research),3,Huiyeol choi,,
,,,,,,
,,,,,,
ECE40027,3,(Post-capstone Research),3,Chamgil Hong,,
,,,,,,
,,,,,,
